1,Ricardo del Corazon Grau-Abalo,16771,xxpubjvw
2,Nieves Abalos,-376,Universidad de Granada
4,Erika Abraham,-304,Rheinisch Westfalische Technische Hochschule Aachen
5,Bernardo M. Abrego,6627,kjiinzum
8,Gergely Acs,-46,Laboratory of Cryptography and Systems Security
10,Sandor Acs,1599,yzneoqii
12,Norbert Adam,-219,Technical University of Kosice
17,Csilla Agoston,7429,rfgtiegj
20,Vilmos Agoston,-347,Hungarian Academy of Sciences
23,Hugo Aguas,3666,zqwfjbua
27,tjvbufuf,16585,Universidad de Almería
31,Jose M. del Alamo,-151,Universidad Politécnica de Madrid
32,hcawwofl,10102,Iowa State University
33,Juan C. del Alamo,446,uautfjru
43,Aitor Alvarez,2901,yovoxkvn
46,qomwdquc,18256,Universidad Politécnica de Cartagena
47,Alexander Martinez Alvarez,-270,Universidade da Coruña
48,ddtwgrsg,17395,Universidad de Extremadura
49,Anna V. Alvarez,-133,Tecnológico de Monterrey
52,Barbara Alvarez,18256,cyaquqqk
55,Benjamin Ramos,-273,Universidad Carlos III de Madrid
57,Carlos Alvarez,9014,hkqmfvcl
61,Daniel Horfan Alvarez,18397,srjyzjex
62,Dario Alvarez Gutierrez,-236,Universidad de Córdoba
63,David Alvarez,-170,Universitat de València
66,Eduardo J. Alvarez,-394,Universidad del Valle de Guatemala
67,Elena Alvarez,-235,Universidad de Cantabria
68,Encarnacion Alvarez,17015,roquwolv
72,ovvzbywc,16573,Universidad de Alcalá
74,Fernando J. Alvarez,17395,shkirplw
76,Francisco J. Alvarez,18555,kzbfwqaa
78,Gonzalo Alvarez,5910,hgowpxzc
79,jutgyrqr,16755,Universidad de Chile
80,Helmut Leighton Alvarez,-297,Universidad de Salamanca
82,Hugo Alvarez,-78,Centro de Estudios e Investigaciones Técnicas de Guipúzcoa
85,Irina Arguelles Alvarez,-283,Universidad Politécnica de Madrid
86,Isaac Alvarez,17015,agoxssyj
87,xgztlbhn,16776,Universidad Complutense de Madrid
88,Isabel Gallego Alvarez,-360,Universidad de Salamanca
89,Ivan Alvarez,18379,aprkvgmc
91,J. Andres Alvarez,313,ntkejkbi
93,J. N. Alonso Alvarez,18630,xovytusi
95,Jacobo de Una Alvarez,18630,pvnpewgr
97,Jorge Alvarez,18561,fbanmyfg
99,Jose Ambrosio Toval Alvarez,2877,srpzcpxv
100,xjcpsdaw,16585,Universidad de Almería
101,Jose Domingo Alvarez,16585,gsfwfqad
103,mgsxpxfo,17036,Universidad de Huelva
104,eezrptrg,17182,Universidad de Málaga
105,azqhycwg,20637,Computer Vision Center
107,Jose R. Alvarez,17365,jllilacq
109,Juan Antonio Alvarez,23043,nfvxgvnu
111,jgbkjawl,20385,Universidad de Guadalajara
115,Luis Alvarez,17148,ikmzhkhv
117,Luis A. Alvarez,-358,Universidad de Las Palmas de Gran Canaria
118,ppbuwxev,18630,Universidade de Vigo
125,Manuel Rodriguez Alvarez,18393,txrfjgfk
126,Maria Jesus Alvarez,-264,Instituto Nacional de Técnica Aeroespacial Esteban Terradas
133,Mariela L. Alvarez,16545,wxinohox
135,Mauricio A. Alvarez,-290,University of Manchester
137,Miguel Fernandez Alvarez,-235,Universidad de Granada
139,Miguel Rodriguez Alvarez,18406,mlyeiwih
141,Nancy A. Alvarez,-48,Universidad de Salamanca
142,Oscar Alvarez,3802,pvftdabr
143,P. J. Alvarez,-192,Universidad de Zaragoza
147,Pedro Alvarez,2931,dxtjkmka
149,Raul Alvarez,16860,wjtqloni
150,wbasmtdq,16545,Universitat d'Alacant
152,whiqlynt,20384,Tecnológico de Monterrey
153,Rodrigo Alvarez,-12,Universidade de Vigo
156,Susana Alvarez,-250,Universidad Autónoma de Madrid
158,Victor Alvarez,18406,frlryffc
159,Victoria Pachon,17036,rajhoxco
160,Victor M. Alvarez,20381,qdbfnuad
161,rvbwvkej,17015,Universidad de Granada
162,zobfikri,17737,Universidad de Oviedo
165,Josue Alvarez-Borrego,20393,fpqzkxhi
166,German Alvarez-Botero,316,dnlsntel
167,Jose Vicente Alvarez-Bravo,2425,ivduwurf
173,Marcos Alvarez-Diaz,18630,nnvlwnlt
175,J. A. Alvarez-Dios,18406,tanvxesa
176,Diego Alvarez-Estevez,16839,vmsanmnl
177,Pedro C. Alvarez-Esteban,2425,ruqmruiy
182,gntsejty,16776,Universidad Complutense de Madrid
190,Luis Alvarez-Leon,17148,rquwblja
191,uducpbao,18256,Universidad Politécnica de Cartagena
196,Mikel Alvarez-Mozos,18406,fzgcasev
197,Denis R. Alvarez-Nadiozhin,-323,Centro de Ingeniería Genética y Biotecnología
198,jwkpmmrv,18249,Universitat Politècnica de Catalunya
199,Renato Alvarez-Nodarse,-0,Universidad de Granada
204,Jose Alvarez-Ramirez,20386,mysuxesd
206,Jose Antonio Alvarez-Robles,2931,txqjvqbb
208,J. J. Alvarez-Sanchez,-310,Universidad de Valladolid
210,Victor Alvarez-Valado,18630,bayahaci
211,Francisco Alvarez-Vaquero,16353,whmxqyjy
212,Antonio Alvarez-Vellisco,16353,jrpmpikv
213,ovlvxeqi,17737,Universidad de Oviedo
218,Guillermo Alvaro,16970,wrcswntf
219,Isabel Navazo,18249,dcxjqpcs
220,cxfppjut,17092,Universitat Jaume I
224,vfjwkhqv,16776,Universidad Complutense de Madrid
225,Luis Angel,18246,upquulfc
