1,Ricardo del Corazon Grau-Abalo,16771,aymhjxpr
2,aqqgcdys,17015,Universidad de Granada
4,Erika Abraham,-314,Rheinisch Westfalische Technische Hochschule Aachen
5,mvxnprsq,6627,California State University Northridge
8,Gergely Acs,21395,oznbmtqa
10,Sandor Acs,1599,ckimncea
12,Norbert Adam,16484,xbkbzgwo
17,Csilla Agoston,7429,eaikcpqr
20,Vilmos Agoston,2249,euggtado
23,Hugo Aguas,3666,tnwnedyd
27,spqbcglx,16585,Universidad de Almería
31,Jose M. del Alamo,16353,ustqvoqm
32,Jose M. Reyes Alamo,10102,dbgdnrvo
33,vnjnhaxi,446,Harvard University
43,Aitor Alvarez,2901,Universidad del País Vasco
46,Alejandro Alvarez,18256,Universidad Politécnica de Cartagena
47,Alexander Martinez Alvarez,16839,Universidade da Coruña
48,Alfredo Alvarez,17395,Universidad de Extremadura
49,baajnimo,20384,Tecnológico de Monterrey
52,Barbara Alvarez,18256,Universidad Politécnica de Cartagena
55,Benjamin Ramos,16676,Universidad Carlos III de Madrid
57,Carlos Alvarez,-5,Georgia Institute of Technology
61,qdtanodf,18397,Universidad de San Buenaventura Medellín
62,Dario Alvarez Gutierrez,-327,Universidad de Córdoba
63,David Alvarez,2845,ibpmxvzc
66,ommvywrx,18625,Universidad del Valle de Guatemala
67,Elena Alvarez,2877,Universidad de Cantabria
68,Encarnacion Alvarez,-197,Universidad de Granada
72,bixunejd,16573,Universidad de Alcalá
74,Fernando J. Alvarez,17395,megfcggm
76,Francisco J. Alvarez,18555,vazgwsje
78,Gonzalo Alvarez,5910,Centro Nacional de Investigación y Desarrollo Tecnológico
79,Hector Alvarez,16755,Universidad de Chile
80,btmmjtds,18379,Universidad de Salamanca
82,vabvnbbt,2838,Centro de Estudios e Investigaciones Técnicas de Guipúzcoa
85,Irina Arguelles Alvarez,16353,rclqcanv
86,Isaac Alvarez,-179,Universidad de Granada
87,wwtahlkc,16776,Universidad Complutense de Madrid
88,Isabel Gallego Alvarez,18379,Universidad de Salamanca
89,Ivan Alvarez,18379,eogyddml
91,J. Andres Alvarez,313,aavcxmdo
93,J. N. Alonso Alvarez,18630,owceyjqp
95,Jacobo de Una Alvarez,18630,cgfpxhhp
97,Jorge Alvarez,18561,University of Texas Austin
99,Jose Ambrosio Toval Alvarez,2877,swpaihso
100,vghgbtzl,16585,Universidad de Almería
101,Jose Domingo Alvarez,16585,zygdnfmp
103,Jose Luis Alvarez,17036,Universidad de Huelva
104,Jose M. Alvarez,17182,Universidad de Málaga
105,Jose Manuel Alvarez,20637,ijzexaeb
107,Jose R. Alvarez,17365,Universidad Nacional de Educación a Distancia
109,Juan Antonio Alvarez,-247,University of Seville
111,Juan Salvador Gomez Alvarez,20385,vthhutjv
115,Luis Alvarez,17148,uxdsleie
117,Luis A. Alvarez,-381,Universidad de Las Palmas de Gran Canaria
118,Luis Alvarez Sabucedo,-271,Universidade de Vigo
125,Manuel Rodriguez Alvarez,18393,ebotruit
126,Maria Jesus Alvarez,96,njskujnl
133,Mariela L. Alvarez,16545,Universitat d'Alacant
135,Mauricio A. Alvarez,12311,gtvaskto
137,Miguel Fernandez Alvarez,17015,sugvaqmc
139,Miguel Rodriguez Alvarez,18406,Universidade de Santiago de Compostela
141,Nancy A. Alvarez,18379,jxrlkzzx
142,Oscar Alvarez,-44,Pontificia Universidad Javeriana
143,P. J. Alvarez,2931,Universidad de Zaragoza
147,Pedro Alvarez,2931,dhogigew
149,Raul Alvarez,-58,Universidad de Granma
150,Rafael Alvarez,16545,Universitat d'Alacant
152,Raziel Alvarez,20384,ctmlumob
153,Rodrigo Alvarez,18630,sjfbagwa
156,Susana Alvarez,2814,Universidad Autónoma de Madrid
158,Victor Alvarez,18406,Universidade de Santiago de Compostela
159,Victoria Pachon,17036,Universidad de Huelva
160,Victor M. Alvarez,20381,Universidad National Autonoma de Mexico
161,P. J. Alvarez-Aranega,17015,wzphoocr
162,Angel Alvarez-Arenal,-72,Universidad de Oviedo
165,Josue Alvarez-Borrego,20393,kbfrgwab
166,German Alvarez-Botero,316,Instituto Nacional de Astrofísica Óptica y Electrónica
167,Jose Vicente Alvarez-Bravo,2425,owhxxgxi
173,Marcos Alvarez-Diaz,18630,cierzmja
175,J. A. Alvarez-Dios,18406,nsckimho
176,Diego Alvarez-Estevez,16839,vrfvymlq
177,aqprijsd,2425,Universidad de Valladolid
182,Jose A. Alvarez-Gomez,16776,dzkdeeuf
190,ylfwjvcf,17148,Universidad de Las Palmas de Gran Canaria
191,Alejandro Alvarez-Melcon,-346,Universidad Politécnica de Cartagena
196,fyontbvv,18406,Universidade de Santiago de Compostela
197,Denis R. Alvarez-Nadiozhin,309,nqnlpkhj
198,Sergio Alvarez-Napagao,18249,kakxphoh
199,Renato Alvarez-Nodarse,17015,Universidad de Granada
204,ihxvkokq,20386,Universidad Autónoma Metropolitana
206,fxyxcxgu,2931,Universidad de Zaragoza
208,J. J. Alvarez-Sanchez,2425,kxhjftna
210,Victor Alvarez-Valado,-179,Universidade de Vigo
211,Francisco Alvarez-Vaquero,16353,aoolstek
212,Antonio Alvarez-Vellisco,-386,Universidad Politécnica de Madrid
213,Arturo Ernesto Alvarez-Vigil,17737,ukapabrn
218,Guillermo Alvaro,16970,ktmbabid
219,Isabel Navazo,-175,Universitat Politècnica de Catalunya
220,Jose Antonio Heredia,17092,Universitat Jaume I
224,Javier Alvez,16776,Universidad Complutense de Madrid
225,Luis Angel,-303,Universidad Pontificia Bolívariana
226,Pedro L. del Angel,335,vokuayfw
229,hfisgaiy,20384,Tecnológico de Monterrey
243,Eyjolfur Ingi Asgeirsson,14736,Reykjavik University
244,Friðrik Heiðar Asmundsson,14736,Reykjavik University
246,M. Clementina Avalos,20381,Universidad National Autonoma de Mexico
250,Ana Maria Heuminski de Avila,-310,Universidade Estadual de Campinas
251,Andres I. Avila,16979,Universidad de la Frontera
253,Braulio Coelho Avila,14350,Pontificia Universidade Católica do Paraná
254,Bruno Tenorio Avila,14352,ktmnvzeu
256,zzckswbm,16353,Universidad Politécnica de Madrid
264,Gonzalo M. Ramirez Avila,9979,pubcbliy
266,Ismael M. A. Avila,167,Centro de Pesquisa e Desenvolvimento em Telecomunicações
272,vjnzjtsh,16353,Universidad Politécnica de Madrid
274,Maria Mar Avila,17395,jgsxzkuj
275,Marisela Gonzalez Avila,8168,krftkvfc
277,Paulo Muniz de Avila,16985,Universidade Federal de São Carlos
279,Rafael Bohrer Avila,17840,Universidade do Vale do Rio Dos Sinos
281,Sonia da Silva Avila,16977,Universidade Federal do Rio de Janeiro
283,Sonia Lizzeth Delfin Avila,-192,École Centrale de Lyon
285,Ricardo Avila-Arguelles,-315,Instituto Politécnico Nacional
287,Alejandro Avila-Garcia,313,ogseevcs
298,Lukman Adewale Akanbi,13684,Obafemi Awolowo University
300,Carme Alvarez,18249,vkkypncu
302,Daniel Aberg,12708,leboefyd
304,Helena Aberg,9277,qfjnywvq
305,Jan Aberg,11778,gpqqvooo
306,Johan Aberg,3268,Swiss Federal Institute of Technology Zurich
307,Karolina Aberg,737,University of Pittsburgh
