1270038,Notes on Channel Routing with Knock-Knees.,2006
1270039,Layout of an Arbitrary Permutation in a Minimal Right Triangle Area.,2005
1444882,Some Compact Layouts of the Butterfly.,1999
1762857,Improved layout of the odd-even sorting network.,2009
2352299,Layout of an Arbitrary Permutation in a Minimal Right Triangle Area.,2007
2352376,A Compact Layout of the Butterfly.,2003
26972,Last but Definitely Not Least: On the Role of the Last Sentence in Automatic Polarity-Classification.,2010
2361757,Analysing the Hierarchical Organization of Text by Using Biologically-Inspired Statistical Methods.,2008
860317,Web-based Remote Digital Signal Processing (DSP) Laboratory Using the Integrated Learning Methodology (ILM).,2007
1095636,Web-Based Remote Digital Signal Processing (DSP) Laboratory Using The Integrated Learning Methodology (ILM).,2006
390219,Software Development Bug Tracking: Tool Isn't User Friendly or User Isn't Process Friendly.,2002
596961,Overcoming Software System Misuse by Domain Knowledge.,2013
1095649,Bioinformatics Integration for Cancer Research-Goal Question analysis.,2006
1316900,"AbstFinder, a prototype abstraction finder for natural language text for use in requirements elicitation: design, methodology, and evaluation.",1994
1466035,Software Proactive Reengineering for System Resilience to Misuse.,2014
1466036,Reuse of Requirements Reduces Time to Market.,2010
1466037,Product Management in Telecom Industry - Using Requirements Management Process.,2003
1466085,The Road to Requirements Maturity.,2003
1659560,"AbstFinder, A Prototype Natural Language Text Abstraction Finder for Use in Requirements Elicitation.",1997
1659561,Reply to Commentaries.,1997
2542092,Reuse of requirements reduced time to market at one industrial shop: a case study.,2015
2788622,Evaluating Software Reuse Alternatives: A Model and Its Application to an Industrial Case Study.,2004
1095650,Lessons Drawn from Implementation of Online Tutoring System in Physics Courses.,2006
964667,Speaker independent phoneme recognition using a heuristic search.,1993
1151686,Database Adaptation for Speech Recognition in Cross-Environmental Conditions.,2002
1151730,Lexicon Design for Transcription of Spontaneous Voice Messages.,2010
1153193,Creation of Spoken Hebrew Databases.,2000
1095722,Effects of the Eencoding Scheme on the Perceived Compressed Video Quality Transmitted Over Lossy IP Networks.,2006
2645818,Effects of an Encoding Scheme on Perceived Video Quality Transmitted Over Lossy Internet Protocol Networks.,2008
1772488,An Upper Bound for d-dimensional Difference Sets.,2001
1772489,Three-dimensional sets with small sumset.,2008
1772490,On the Simplest Inverse Problem for Sums of Sets in Several Dimensions.,1998
1931608,Planar sets containing no three collinear points and non-averaging sets of integers.,2002
1959804,Direct and inverse problems in additive number theory and in non-abelian group theory.,2014
1959805,A small doubling structure theorem in a Baumslag-Solitar group.,2015
1122871,Automatic recovery of statecharts from procedural code.,2012
1224496,Refactoring of Statecharts.,2009
2371559,Introduction.,2006
2371560,On Error Bounds of Finite Difference Approximations to Partial Differential Equations - Temporal Behavior and Rate of Convergence.,2000
2371561,Bounded Error Schemes for the Wave Equation on Complex Domains.,2006
2371562,Long Time Behavior of the Perfectly Matched Layer Equations in Computational Electromagnetics.,2002
2371563,Non-Linear PML Equations for Time Dependent Electromagnetics in Three Dimensions.,2006
2371564,Compact high-order schemes for the Euler equations.,1988
2371565,Long-Time Performance of Unsplit PMLs with Explicit Second Order Schemes.,2009
378936,Statistical Imaging for Modeling and Identification of Bacterial Types.,2004
1095708,A Novel Telemedicine System for Monitoring Congestive Heart Failure Patients.,2006
2140868,The cost-effectiveness of stress testing using high-frequency QRS analysis.,2013
2140870,Diagnosis of elderly pneumonia patients using a parametric electrical impedance tomography system - a preliminary study.,2010
2140914,Parametric EIT vs. intra-thoracic impedance for monitoring pulmonary edema using a two dimensional theoretical model of the thorax.,2013
2647755,Induced current bio-impedance technique for monitoring cryosurgery procedure in a two-dimensional head model using generalized coordinate systems.,2005
2757029,Automatic identification of bacterial types using statistical imaging methods.,2004
2757510,Induced-current electrical impedance tomography: a 2-D theoretical Simulation.,2003
2176990,Optimal Testing in a Fixed-Effects Functional Analysis of Variance Model.,2004
2671665,Some statistical remarks on the derivation of BER in amplified optical communication systems.,1997
1257635,PAKDD Data Mining Competition 2009: New Ways of Using Known Methods.,2009
2031445,A Common Database for Digital Mapping and GIS.,1993
89463,Automated signature extraction for high volume attacks.,2013
89464,MCA: multi-core architecture for mitigating complexity attacks.,2012
115420,Fence-free work stealing on bounded TSO processors.,2014
115421,Temporally Bounding TSO for Fence-Free Asymmetric Synchronization.,2015
266158,Chips and Boards Through MOSIS.,1985
437109,Scalable Producer-Consumer Pools Based on Elimination-Diffraction Trees.,2010
468410,Applying Static Network Protocols to Dynamic Networks.,1987
468411,Local Management of a Global Resource in a Communication Network.,1987
468412,Upper and Lower Bounds for Routing Schemes in Dynamic Networks (Abstract).,1989
468413,Synchronization power depends on the register size (Preliminary Version).,1993
468414,ong-lived Adaptive Collect with Applications.,1999
696161,Asynchrony from Synchrony.,2013
696162,Simultaneous Consensus Tasks: A Tighter Characterization of Set-Consensus.,2006
935226,On the structure and application of BGP policy atoms.,2002
941959,Trainet: A New Label Switching Scheme.,2000
941960,Dynamic Bandwidth Allocation Policies.,1996
942608,Improved BGP Convergence via Ghost Flushing.,2003
1079208,Local Stabilizer.,1997
1079209,On the Complexity of Global Computation in the Presence of Link Failures: The General Case.,1993
1111642,Cache index-aware memory allocation.,2011
1143135,Lowering STM Overhead with Static Analysis.,2010
1222262,Efficient Processing of Multi-connection Compressed Web Traffic.,2011
1241901,Cross-Entrance Consistent Range Classifier with OpenFlow.,2014
1245205,Efficient Lock Free Privatization.,2010
1245206,Towards Consistency Oblivious Programming.,2011
1245207,Group Renaming.,2008
1245208,Quasi-Linearizability: Relaxed Consistency for Improved Concurrency.,2010
1291405,Long-Lived Renaming Made Adaptive.,1999
1291406,Bounds on the shared memory requirements for long-lived adaptive objects (extended abstract).,2000
1291407,Local Stabilizer (Brief Announcement).,1997
1291408,Atomic Snapshots of Shared Memory.,1990
1291409,Time and Message Bounds of Election in Synchronous and Asynchronous Complete Networks.,1985
1291410,Bootstrap Network Resynchronization (Extended Abstract).,1991
1291411,Distributed computing building blocks for rational agents.,2014
1291412,Common2 extended to stacks and unbounded concurrency.,2006
1291413,Computing with Faulty Shared Memory (Extended Abstract).,1992
1291414,The Slide Mechanism with Applications in Dynamic Networks (Extended Abstract).,1992
1291415,Software-improved hardware lock elision.,2014
1291416,The Power of Multimedia: Combining Point-to Point and Multi-Access Networks.,1988
1291417,"Fast, Wait-Free (2)-Renaming.",1999
1291418,On the Convergence Complexity of Optimistic Rate Based Flow Control Algorithms (Brief Announcement).,1996
1291419,Brief announcement: view transactions: transactional model with relaxed consistency checks.,2010
1291420,The Power of Multi-objects (Extended Abstract).,1996
1291421,Disentangling Multi-Object Operations (Extended Abstract).,1997
1291422,From bounded to unbounded concurrency objects and back.,2011
1291423,Failure detectors in loosely named systems.,2008
1291424,Detecting Global Termination Conditions in the Face of Uncertainty.,1987
1291425,Delimiting the Power of Bounded Size Synchronization Objects (Extended Abstract).,1994
1291426,Long-lived and adaptive atomic snapshot and immediate snapshot (extended abstract).,2000
1291427,A Completeness Theorem for a Class of Synchronization Objects (Extended Abstract).,1993
1291675,Consensus Power Makes (Some) Sense! (Extended Abstract).,1994
1291692,Restoration by path concatenation: fast recovery of MPLS paths.,2001
1292056,Election and Traversal in Unidirectional Networks.,1984
1292057,End-to-End Communication in Unreliable Networks.,1988
1297710,Programming with hardware lock elision.,2013
1298163,Fast concurrent queues for x86 processors.,2013
1386186,Phantom: A Simple and Effective Flow Control Scheme.,1996
1386324,Routing with a Clue.,1999
1401352,Restoration path concatenation: fast recovery of MPLS paths.,2001
1436637,Self-Stabilizing Unidirectional Network Algorithms by Power-Supply (Extended Abstract).,1997
1444511,A Lazy Cache Algorithm.,1989
1444512,Recursive design of hardware priority queues.,2013
1451611,Self-Stabilization of the Alternating-Bit Protocol.,1989
1459748,Wait-free made fast (Extended Abstract).,1995
1459749,Convergence Complexity of Optimistic Rate Based Flow Control Algorithms (Extended Abstract).,1996
1467908,Coping with context switches in lock-based software transactional memory.,2011
1546747,Beeping a Maximal Independent Set.,2011
1546748,Local Fail-safe Network Reset Procedure.,1987
1546749,Oblivious Collaboration.,2011
1546750,"A Bounded First-In, First-Enabled Solution to the 1-Exclusion Problem.",1990
1546751,Tight Group Renaming on Groups of Size g Is Equivalent to g-Consensus.,2009
1546752,Wait-free Test-and-Set (Extended Abstract).,1992
1546753,Fast and Scalable Rendezvousing.,2011
1546754,CBTree: A Practical Concurrent Self-Adjusting Search Tree.,2012
1546755,Brief Announcement: Quasi-Linearizability: Relaxed Consistency for Improved Concurrency.,2010
1546756,Memory-Efficient Self Stabilizing Protocols for General Networks.,1990
1546757,Space and Step Complexity Efficient Adaptive Collect.,2005
1546758,Pessimistic Software Lock-Elision.,2012
1546759,Benign Failure Models for Shared Memory (Preliminary Version).,1993
1546760,Sparser: A Paradigm for Running Distributed Algorithms.,1992
1546761,Less Is More: Consensus Gaps Between Restricted and Unrestricted Objects.,2006
1546762,Interrupting Snapshots and the Java^{mbox{	iny TM}} Size() Method.,2009
1547419,Simple and Efficient Election Algorithms for Anonymous Networks.,1989
1750935,Self-Stabilizing Unidirectional Network Algorithms by Power Supply.,1998
1762649,Recursive design of hardware priority queues.,2014
1762650,Phantom: a simple and effective flow control scheme.,2000
1775292,Space efficient deep packet inspection of compressed web traffic.,2012
1821979,Oblivious Collaboration.,2011
1821987,MIS on the fly.,2011
1829916,Asynchrony from Synchrony.,2012
1832000,Beeping a Maximal Independent Set.,2012
1834406,Musical chairs.,2012
1911334,Beeping a maximal independent set.,2013
1911335,Self-Stabilization Over Unreliable Communication Media.,1993
1911336,Restoration by path concatenation: fast recovery of MPLS paths.,2002
1911337,Common2 extended to stacks and unbounded concurrency.,2007
1911338,The -simultaneous consensus problem.,2010
1911339,On the Comnplexity of Global Computation in the Presence of Link Failures: The General Case.,1995
1911340,Fast and scalable rendezvousing.,2013
1911341,The CB tree: a practical concurrent self-adjusting search tree.,2014
1911342,Renaming and the weakest family of failure detectors.,2012
1911343,Efficient adaptive collect algorithms.,2007
1911856,Long lived adaptive splitter and applications.,2002
2048514,Elections in Anonymous Networks.,1994
2048515,The Power of Multiobjects.,1999
2052094,The Power of Multimedia: Combining Point-to-Point and Multiaccess Networks.,1990
2196735,The Bit Complexity of the Predecessor Problem.,1997
2235947,Atomic Snapshots of Shared Memory.,1993
2235948,Reliable Communication Over Unreliable Channels.,1994
2235949,Local Management of a Global Resource in a Communication Network.,1996
2235950,Computing With Faulty Shared Objects.,1995
2240438,Slide-The Key to Polynomial End-to-End Communication.,1997
2240439,Convergence Complexity of Optimistic Rate-Based Flow-Control Algorithms.,1999
2240440,Sparser: A Paradigm for Running Distributed Algorithms.,1993
2240441,Optimal Time-Space Tradeoff for Shared Memory Leader Election.,1997
2240442,The Instancy of Snapshots and Commuting Objects.,1999
2358147,Local Stabilizer.,2002
2358148,Interrupting snapshots and the Java size method.,2012
2364210,Improved BGP convergence via ghost flushing.,2004
2421014,The Velox Transactional Memory Stack.,2010
2571844,Time and Message Bounds for Election in Synchronous and Asynchronous Complete Networks.,1991
2571845,Distributed Algorithms for Unidirectional Networks.,1994
2574943,Musical Chairs.,2014
2679889,A simple characterization of asynchronous computations.,2015
2679890,The Local Detection Paradigm and Its Application to Self-Stabilization.,1997
2772040,Routing with a clue.,2001
2774267,Lazy Caching.,1993
2774268,"A Bounded First-In, First-Enabled Solution to the l-Exclusion Problem.",1994
613381,Adaptive On-Line Neural Network Retraining for Real Life Multimodal Emotion Recognition.,2006
967574,The relevance of feature type for the automatic classification of emotional user states: low level descriptors and functionals.,2007
967741,"Patterns, prototypes, performance: classifying emotional user states.",2008
1095604,Emotion Elicitation in a Computerized Gambling Game.,2006
1696331,Prediction of response to robot-aided motor neuro-rehabilitation of children with cerebral palsy.,2012
1760737,Human-computer interaction in the administration and analysis of neuropsychological tests.,2004
1894122,Whodunnit - Searching for the most important feature types signalling emotion-related user states in speech.,2011
75138,eGovernment for Low Socio-Economic Status.,2009
238675,Computer-Mediated Group Interaction Processes.,2009
369952,What agile ERP consultants think of requirements engineering for inter-organizational ERP Systems: Insights from a Focus Group in BeNeLux.,2012
380903,Panel: Academia influencing the National IT Policy: IS research and education in Israel.,1996
419595,A focus group study on inter-organizational ERP requirements engineering practices.,2010
761507,Assessing the value of information.,1989
1163169,Evaluating and Ranking Local E-Government Services.,2010
1316039,Evaluating cross-organizational ERP requirements engineering practices: a focus group study.,2010
1697472,The open information society.,2001
1697473,A Metamodel of Information Flow: A Tool to Support Information Systems Theory.,1987
1697474,A Model for Predicting and Evaluating Computer Resource Consumption.,1988
1697475,Processing Encrypted Data.,1987
1697476,Top Management Toolbox for Managing Corporate IT.,1999
1705189,The benefits of using information systems.,2000
1747608,Analysis of the Purchase Option of Computers.,1978
1782486,Verifying the authentication of an information system user.,1987
1782487,Protecting statistical databases against retrieval of private information.,1988
1786061,SPEC as a Performance Evaluation Measure.,1995
1795576,The value of an information system for service networks.,1985
1795604,A compumetrical approach for analysis and clustering of computer system performance variables.,1988
1795605,Selecting a job mix for running a benchmark by using an integer programming model.,1978
1920468,A conceptual model for increasing utilization of dependable computer networks.,2003
1980682,The impact of accessibility on the value of information and the productivity paradox.,2005
2046618,Organizational structure of a complex data processing department.,1978
2046619,"A model to facilitate costing, pricing and budgeting of computer services.",1988
2046620,The value of information in information analysis.,1981
2046621,Environmental scanning and information systems in relation to success in introducing new products.,1998
2047800,A measure for determining the strategic relevance of IS to the organization.,1992
2047942,Identifying the value and importance of an information system application.,1996
2102118,Modelling the characteristics of virtual teams' structure.,2009
2136535,What Practitioners Think of Inter-organizational ERP Requirements Engineering Practices: Focus Group Results.,2011
2218318,A Theory of Constraints approach to interorganizational systems implementation.,2008
2280116,Mapping Diversities and Tracing Trends of Cultural Homogeneity/Heterogeneity in Cyberspace.,2007
2336409,Assessing Data Reliability in an Information System.,1987
2336410,The Effects of Time Pressure and Completeness of Information on Decision Making.,1998
2373773,Building outsourcing relationships across the global community: the UPS-Motorola experience.,2001
2373970,Data and reports: Contents design and users allocation.,1981
2424419,Factors Affecting the Policy for Distributing Computing Resources.,1989
2424420,Instant Quality Control of Large Batch Processing Jobs.,1987
2730549,Popular Searches in Google and Yahoo!: A Digital Divide in Information Uses?,2010
1669098,A single pacemaker cell model based on the phase response curve.,1998
1669099,A pacemaker cell pair model based on the phase response curve.,1998
1669100,Simulation of atrial activity by a phase response curve based model of a two-dimensional pacemaker cells array: the transition from a normal activation pattern to atrial fibrillation.,1999
2413734,Algorithm for ventricular capture verification based on the mechanical evoked response.,2005
2421006,Quantitative evaluation of local myocardial blood volume in contrast echocardiography.,2009
2522425,An improved method to compute the convex hull of a shape in a binary image.,1997
2646564,A simulation of the SA node by a phase response curve-based model of a two-dimensional pacemaker cells array.,2000
2647843,Individual time-dependent spectral boundaries for improved accuracy in time-frequency analysis of heart rate variability.,2006
2649575,Bicoherence analysis of new cardiovascular spectral components observed in heart-transplant patients: statistical approach for bicoherence thresholding.,2004
2649647,Do the high-frequency indexes of HRV provide a faithful assessment of cardiac vagal tone? A critical theoretical evaluation.,2003
2651038,Automatic Endocardial-Boundary Detection in Low Mechanical-Index Contrast Echocardiography.,2006
2417411,Transitions between symmetric and asymmetric solitons in dual-core systems with cubic-quintic nonlinearity.,2007
1881764,A Remark on the Szarek-Talagrand Theorem.,1997
70553,Hannan Consistency in On-Line Learning in Case of Unbounded Losses Under Partial Monitoring.,2006
264277,Individual Sequence Prediction - Upper Bounds and Application for Complexity.,1999
70552,Full Information Game with Gains and Losses.,2004
705590,Unifying Unknown Nodes in the Internet Graph Using Semisupervised Spectral Clustering.,2008
187102,The application of a real-time rapid-prototyping environment for the behavioral rehabilitation of a lost brain function in rats.,2011
647649,Detection of auditory stimulus onset in the Pontine Nucleus using a multichannel multi-unit activity electrode.,2011
1224499,A Groupware-Based Team Training Shell and its Application to Trauma Team Training.,1993
2744909,AMON: a wearable multiparameter medical monitoring and alert system.,2004
8880,Bundling Attacks in Judgment Aggregation.,2013
8881,The Value of Ignorance about the Number of Players.,2013
68312,How to Put through Your Agenda in Collective Binary Decisions.,2013
99578,Edge Coloring with Delays.,2004
99579,Testing Boolean Function Isomorphism.,2010
99580,Small Sample Spaces Cannot Fool Low Degree Polynomials.,2008
99581,"Almost K-Wise vs. K-Wise Independent Permutations, and Uniformity for General Group Actions.",2012
99582,The Cover Number of a Matrix and its Algorithmic Applications.,2014
99583,Deterministic Approximation Algorithms for the Nearest Codeword Problem.,2009
181663,List coloring and Euclidean Ramsey Theory.,2011
255648,Lower Bounds for Approximations by Low Degree Polynomials Over Z.,2001
255649,On Rigid Matrices and U-polynomials.,2013
255650,On Sunflowers and Matrix Multiplication.,2012
256937,Linear Time Algorithms for Finding a Dominating Set of Fixed Size in Degenerated Graphs.,2007
256938,Can a Graph Have Distinct Regular Partitions?,2007
264278,Voting Paradoxes.,2010
267116,Can Visibility Graphs be Represented Compactly?,1993
267190,On-Line Steiner Trees in the Euclidean Plane.,1992
267191,Polychromatic colorings of plane graphs.,2008
267192,The complexity of the outer face in arrangements of random segments.,2008
267193,Partitioning and Geometric Embedding of Range Spaces of Finite Vapnik-Chervonenkis Dimension.,1987
267194,Piercing Convex Sets.,1992
267195,Long Non-Crossing Configurations in the Plane.,1993
267196,Conflict-free colorings of shallow discs.,2006
415053,On-line and Off-line Approximation Algorithms for Vector Covering Problems.,1996
415054,Efficient Dynamic-Resharing Verifiable Secret Sharing Against Mobile Adversary.,1995
415055,Fast Algorithms for Maximum Subset Matching and All-Pairs Shortest Paths in Graphs with a (Not So) Small Vertex Cover.,2007
415056,Finding and Counting Given Length Cycles (Extended Abstract).,1994
463413,Disjoint Systems (Extended Abstract).,1993
468463,"Fault Tolerant Graphs, Perfect Hash Functions and Disjoint Paths.",1992
468502,Testing Subgraphs in Large Graphs.,2001
468503,A Non-linear Lower Bound for Planar Epsilon-Nets.,2010
468504,A parallel algorithmic version of the Local Lemma.,1991
468505,The Average Complexity of Deterministic and Randomized Parallel Comparison Sorting Algorithms.,1987
468506,Parallel Comparison Algorithms for Approximation Problems.,1988
468507,Tight Complexity Bounds for Parallel Comparison Sorting.,1986
468508,"Scale-sensitive Dimensions, Uniform Convergence, and Learnability.",1993
468509,Learning a Hidden Matching.,2002
468510,Explicit Unique-Neighbor Expanders.,2002
468511,Finding Disjoint Paths in Expanders Deterministically and Online.,2007
468512,Universality and Tolerance.,2000
468513,The Algorithmic Aspects of the Regularity Lemma (Extended Abstract).,1992
468514,Testing of Clustering.,2000
468515,Linear Time Erasure Codes with Nearly Optimal Recovery (Extended Abstract).,1995
468516,Efficient Testing of Large Graphs.,1999
468517,Geometrical Realization of Set Systems and Probabilistic Communication Complexity.,1985
468518,Polynomial time randomised approxmiation schemes for the Tutte polynomial of dense graphs.,1994
468519,Simple Constructions of Almost k-Wise Independent Random Variables.,1990
468520,On the Exponent of the All Pairs Shortest Path Problem.,1991
468521,Witnesses for Boolean Matrix Multiplication and for Shortest Paths.,1992
