aid,name,oid,organization
1,Ricardo del Corazon Grau-Abalo,16771,Universidad Central Marta Abreu de la Villas
2,Nieves Abalos,17015,Universidad de Granada
4,Erika Abraham,14771,Rheinisch Westfalische Technische Hochschule Aachen
5,Bernardo M. Abrego,6627,California State University Northridge
8,Gergely Acs,21395,Laboratory of Cryptography and Systems Security
10,Sandor Acs,1599,University of Helsinki
12,Norbert Adam,16484,Technical University of Kosice
17,Csilla Agoston,7429,Eotvos Lorand University (University of Budapest)
20,Vilmos Agoston,2249,Hungarian Academy of Sciences
23,Hugo Aguas,3666,Universidade Nova de Lisboa
27,Isabel Maria del Aguila,16585,Universidad de Almería
31,Jose M. del Alamo,16353,Universidad Politécnica de Madrid
32,Jose M. Reyes Alamo,10102,Iowa State University
33,Juan C. del Alamo,446,Harvard University
43,Aitor Alvarez,2901,Universidad del País Vasco
46,Alejandro Alvarez,18256,Universidad Politécnica de Cartagena
47,Alexander Martinez Alvarez,16839,Universidade da Coruña
48,Alfredo Alvarez,17395,Universidad de Extremadura
49,Anna V. Alvarez,20384,Tecnológico de Monterrey
52,Barbara Alvarez,18256,Universidad Politécnica de Cartagena
55,Benjamin Ramos,16676,Universidad Carlos III de Madrid
57,Carlos Alvarez,9014,Georgia Institute of Technology
61,Daniel Horfan Alvarez,18397,Universidad de San Buenaventura Medellín
62,Dario Alvarez Gutierrez,16790,Universidad de Córdoba
63,David Alvarez,2845,Universitat de València
66,Eduardo J. Alvarez,18625,Universidad del Valle de Guatemala
67,Elena Alvarez,2877,Universidad de Cantabria
68,Encarnacion Alvarez,17015,Universidad de Granada
72,Fernando-Luis Alvarez,16573,Universidad de Alcalá
74,Fernando J. Alvarez,17395,Universidad de Extremadura
76,Francisco J. Alvarez,18555,University of Texas El Paso
78,Gonzalo Alvarez,5910,Centro Nacional de Investigación y Desarrollo Tecnológico
79,Hector Alvarez,16755,Universidad de Chile
80,Helmut Leighton Alvarez,18379,Universidad de Salamanca
82,Hugo Alvarez,2838,Centro de Estudios e Investigaciones Técnicas de Guipúzcoa
85,Irina Arguelles Alvarez,16353,Universidad Politécnica de Madrid
86,Isaac Alvarez,17015,Universidad de Granada
87,Isabel Alvarez,16776,Universidad Complutense de Madrid
88,Isabel Gallego Alvarez,18379,Universidad de Salamanca
89,Ivan Alvarez,18379,Universidad de Salamanca
91,J. Andres Alvarez,313,Centro de Investigación y de Estudios Avanzados
93,J. N. Alonso Alvarez,18630,Universidade de Vigo
